Name,Spectral Type,Stellar Effective Temperature [K],Stellar Radius [Solar Radius],Stellar Mass [Solar mass],Stellar Luminosity [log(Solar)],Stellar Surface Gravity [log10(cm/s**2)],Stellar Age [Gyr]
Kepler-396,,5565.00,1.06,0.85,-0.135,4.32,4.370
Kepler-397,,5307.00,0.77,0.84,-0.376,4.57,5.250
Kepler-400,,5886.00,1.15,1.08,0.152,4.35,3.630
Kepler-404,,5654.00,0.88,0.93,-0.337,4.54,0.400
Kepler-405,,5818.00,0.89,0.91,-0.331,4.54,4.680
Kepler-406,,5538.00,1.07,1.07,0.048,4.41,5.840
Kepler-407,,5476.00,1.01,1.00,-0.049,4.43,7.470
Kepler-414,,5536.00,0.95,0.89,-0.169,4.47,5.500
Kepler-415,,4362.00,0.64,0.67,-0.805,4.62,4.900
Kepler-416,,5758.00,1.07,1.00,0.028,4.42,4.900
Kepler-417,,5177.00,0.81,0.90,-0.411,4.57,4.900
Kepler-418,,5822.00,1.08,0.96,0.111,4.35,2.100
Kepler-419,,6430.00,1.74,1.39,0.713,4.10,1.290
Kepler-424,,5460.00,0.94,1.01,-0.150,4.50,4.900
Kepler-430,,5884.00,1.49,1.17,0.312,4.15,5.130
Kepler-432,,4995.00,4.06,1.32,0.926,3.35,4.200
Kepler-436,,4685.00,0.71,0.75,-0.731,4.62,4.070
Kepler-449,,5649.18,1.47,1.02,0.296,4.09,9.770
Kepler-454,,5701.00,1.07,1.03,0.032,4.37,5.250
Kepler-462,,7500.00,1.57,1.59,0.926,4.22,0.500
Kepler-466,,5927.00,1.05,1.04,-0.067,4.42,3.470
Kepler-495,,5392.00,1.09,0.89,-0.237,4.31,0.600
Kepler-50,,6225.00,1.58,1.24,0.536,4.13,3.800
Kepler-501,,5794.00,1.22,1.03,0.216,4.28,0.300
Kepler-511,,5866.00,1.42,0.96,0.498,4.12,7.940
Kepler-520,,6112.00,1.09,1.10,0.510,4.41,2.040
Kepler-524,,6014.00,1.10,1.09,0.439,4.39,3.020
Kepler-534,,5936.00,0.97,1.07,0.147,4.50,1.700
Kepler-539,G2 V,5820.00,0.95,1.05,-0.094,4.50,0.910
Kepler-549,,5360.00,0.84,0.88,-0.306,4.54,4.570
